<<<<<<< HEAD
Time(s), Consigne 
670.0,0.0
873.0,0.0
1076.0,0.0
1279.0,0.0
1482.0,0.0
1685.0,0.0
1888.0,0.0
2091.0,0.0
2294.0,0.0
2497.0,0.0
2700.0,0.0
2903.0,0.0
3106.0,0.0
3309.0,0.0
3512.0,0.0
3715.0,0.0
3918.0,0.0
4121.0,0.0
4324.0,0.0
4527.0,0.0
4730.0,0.0
4933.0,0.0
5136.0,0.0
5339.0,0.0
5542.0,0.0
5745.0,0.0
